,MAPE,Spearman,Pearson,Kendall
baseline_train,0.175,0.3581,0.4331,0.2641
baseline_test,0.1771,0.3406,0.3626,0.252
after_nonsense_drop_train,0.1759,0.3489,0.4266,0.2641
after_nonsense_drop_test,0.1755,0.3409,0.4126,0.252
after_soft_correlation_drop_train,0.1759,0.3489,0.4266,0.2641
after_soft_correlation_drop_test,0.1755,0.341,0.412,0.252
after_linearization_drop_train,0.198,0.3496,0.3322,0.2641
after_linearization_drop_test,0.1969,0.3332,0.31,0.252
after_hard_correlation_drop_train,0.2016,0.353,0.3137,0.2641
after_hard_correlation_drop_test,0.2002,0.3404,0.3026,0.252
model_train,0.2016,0.353,0.3134,0.2641
model_test,0.2002,0.3408,0.3018,0.252
