,Accuracy,roc_auc_score,f1_score
baseline_train,0.8566,0.9351,0.8823
baseline_test,0.8318,0.9071,0.8627
after_nonsense_drop_train,0.8576,0.9371,0.8836
after_nonsense_drop_test,0.8332,0.9108,0.8641
after_soft_correlation_drop_train,0.8558,0.935,0.882
after_soft_correlation_drop_test,0.8333,0.9089,0.8644
after_auc_drop_train,0.7792,0.8486,0.8302
after_auc_drop_test,0.7597,0.8133,0.8161
model_train,0.7792,0.8486,0.8302
model_test,0.7598,0.8133,0.8162
