,Accuracy,roc_auc_score,f1_score
baseline_train,0.9216,0.9667,0.7608
baseline_test,0.8962,0.9424,0.6669
after_nonsense_drop_train,0.9226,0.9671,0.7659
after_nonsense_drop_test,0.8991,0.9416,0.6778
after_soft_correlation_drop_train,0.9214,0.964,0.7608
after_soft_correlation_drop_test,0.8972,0.9375,0.6725
after_auc_drop_train,0.9187,0.9611,0.7527
after_auc_drop_test,0.8983,0.9366,0.6801
model_train,0.9161,0.9608,0.7445
model_test,0.8968,0.9405,0.6752
