,Accuracy,roc_auc_score,f1_score
baseline_train,0.7864,0.5286,0.8804
baseline_test,0.7902,0.5333,0.8828
after_nonsense_drop_train,0.7863,0.5277,0.8804
after_nonsense_drop_test,0.7903,0.5323,0.8829
after_soft_correlation_drop_train,0.7862,0.5232,0.8803
after_soft_correlation_drop_test,0.7902,0.528,0.8828
after_auc_drop_train,0.7864,0.5556,0.8804
after_auc_drop_test,0.7902,0.5586,0.8828
after_linearization_train,0.7864,0.5604,0.8804
after_linearization_test,0.7903,0.5625,0.8829
model_train,0.7864,0.5623,0.8804
model_test,0.7903,0.564,0.8829
