,ticker,1d_price,1m_price,3m_price,6m_price,views_one_day,forwards_one_day,days_before_ipo_one_day,text_len_one_day,price_one_day,delta_price_one_day,delta_perc_one_day,open_one_day,delta_open_one_day,delta_perc_on_ipo_date_one_day,positive_score_one_day,neutral_score_one_day,negative_score_one_day,views_x_positive_one_day,forwards_x_positive_one_day,views_div_by_days_one_day,forwards_div_by_days_one_day,text_len_div_by_days_one_day,positive_score_div_by_days_one_day,views_x_positive_div_by_days_one_day,forwards_x_positive_div_by_days_one_day,views_one_week,forwards_one_week,days_before_ipo_one_week,text_len_one_week,price_one_week,delta_price_one_week,delta_perc_one_week,open_one_week,delta_open_one_week,delta_perc_on_ipo_date_one_week,positive_score_one_week,neutral_score_one_week,negative_score_one_week,views_x_positive_one_week,forwards_x_positive_one_week,views_div_by_days_one_week,forwards_div_by_days_one_week,text_len_div_by_days_one_week,positive_score_div_by_days_one_week,views_x_positive_div_by_days_one_week,forwards_x_positive_div_by_days_one_week,views_one_month,forwards_one_month,days_before_ipo_one_month,text_len_one_month,price_one_month,delta_price_one_month,delta_perc_one_month,open_one_month,delta_open_one_month,delta_perc_on_ipo_date_one_month,positive_score_one_month,neutral_score_one_month,negative_score_one_month,views_x_positive_one_month,forwards_x_positive_one_month,views_div_by_days_one_month,forwards_div_by_days_one_month,text_len_div_by_days_one_month,positive_score_div_by_days_one_month,views_x_positive_div_by_days_one_month,forwards_x_positive_div_by_days_one_month,views_all,forwards_all,days_before_ipo_all,text_len_all,price_all,delta_price_all,delta_perc_all,open_all,delta_open_all,delta_perc_on_ipo_date_all,positive_score_all,neutral_score_all,negative_score_all,views_x_positive_all,forwards_x_positive_all,views_div_by_days_all,forwards_div_by_days_all,text_len_div_by_days_all,positive_score_div_by_days_all,views_x_positive_div_by_days_all,forwards_x_positive_div_by_days_all,cnt_one_day,cnt_one_week,cnt_one_month,cnt_all
10,GECO,0.959,0.7,0.87,2.29,13063.125,24.125,1.0,847.25,30.11,-0.5300000000000011,-0.0173,30.66,-0.6099999999999994,-0.0173,0.5278493892401457,0.06763488613069062,-0.6060276627540588,13063.125,24.125,13063.125,24.125,847.25,0.5278493892401457,13063.125,24.125,12917.285714285714,21.285714285714285,2.2857142857142856,715.5714285714286,28.138571428571428,-1.462857142857143,-0.04895714285714286,29.868571428571432,-0.7285714285714278,-0.04895714285714286,0.38723870047501147,1.0674597365515572,-1.1718049219676427,12917.285714285714,21.285714285714285,6078.142857142857,9.69047619047619,338.1904761904762,0.1848944138203348,6078.142857142857,9.69047619047619,12664.0,37.666666666666664,12.0,362.6666666666667,31.323333333333334,0.9866666666666646,0.03203333333333334,31.233333333333334,0.43000000000000327,0.03203333333333334,-0.23162693281968438,1.21756657709678,-0.45822366078694654,12664.0,37.666666666666664,1114.641414141414,3.4878787878787882,28.181818181818183,-0.02566832096287699,1114.641414141414,3.4878787878787882,87664.23076923077,195.6153846153846,218.5,1600.1153846153845,25.494615384615386,-0.3038461538461537,-0.006653846153846143,26.072307692307692,-0.6365384615384613,-0.006653846153846143,-0.09876971233349582,0.87335520506335,-0.4869784712791443,87664.23076923077,195.6153846153846,312.666253099889,0.8785596838973795,9.66592874753324,-0.000606939673986629,312.666253099889,0.8785596838973795,8.0,7.0,3.0,26.0
11,WUSH,0.002,-0.12,0.06,0.15,20184.5,20.5,1.0,479.5,31.12,2.280000000000001,0.0791,29.47,-2.02,0.0791,0.18471425026655192,1.868050456047058,-1.384704351425171,20184.5,20.5,20184.5,20.5,479.5,0.18471425026655192,20184.5,20.5,14134.2,32.0,2.8,281.4,32.174,-0.052000000000001025,-0.0009000000000000001,32.712,2.6060000000000003,-0.0009000000000000001,-0.07502742409706116,1.171371477842331,-0.6147374272346496,14134.2,32.0,6640.633333333333,15.133333333333331,137.16666666666669,-0.05086616774400075,6640.633333333333,15.133333333333331,27808.0,181.6,18.4,1503.8,34.272000000000006,1.1180000000000008,0.033,34.376,0.8320000000000001,0.033,0.5541891932487488,0.46732823401689527,-0.942984139919281,27808.0,181.6,1777.481373584463,9.833606172622192,110.82498093058734,0.023130712765053407,1777.481373584463,9.833606172622192,21395.32320441989,75.97237569060773,290.8618784530387,1284.9944751381215,27.218701657458563,-0.0059392265193370965,0.0027350828729281783,27.65546961325967,0.26419889502762434,0.0027350828729281783,0.1112515895231241,0.5607452110197004,-0.5480726945795407,21395.32320441989,75.97237569060773,89.43819507501453,0.33392307008411815,5.535529004640217,0.00085474401002766,89.43819507501453,0.33392307008411815,2.0,5.0,5.0,362.0
12,POSI,0.292,-0.04,-1.0,0.1,,,,,,,,,,,,,,,,,,,,,,14724.333333333334,35.666666666666664,5.0,1201.3333333333333,32.25,-0.9700000000000012,-0.028499999999999998,33.35666666666666,-0.9166666666666666,-0.028499999999999998,-0.24251268307367965,1.2101104855537417,-0.44773566722869873,14724.333333333334,35.666666666666664,2770.85,5.966666666666666,243.0111111111111,-0.06746831685304643,2770.85,5.966666666666666,17661.333333333332,19.0,16.666666666666668,1654.5,49.24666666666667,0.8600000000000007,0.0098,48.78333333333333,-0.8050000000000009,0.0098,-0.40366258720556897,0.6239742500086626,0.07087804873784391,17661.333333333332,19.0,1213.1278058361393,1.332828282828283,108.9117845117845,-0.022776037435372407,1213.1278058361393,1.332828282828283,17349.594724220624,32.37649880095923,482.484412470024,1260.2781774580335,39.879160671462834,0.32393285371702646,0.013058752997601914,40.03880095923262,-0.24846522781774583,0.013058752997601914,-0.31347780102948775,0.49921440526092653,0.04993277541596255,17349.594724220624,32.37649880095923,56.431881308922655,0.12707496649077482,4.234842066427798,-0.0007782045651306654,56.431881308922655,0.12707496649077482,,3.0,6.0,417.0
13,SPBE,0.122,0.19,-0.19,-0.7,,,,,,,,,,,,,,,,,,,,,,15510.5,30.5,5.25,1469.75,32.4975,-0.21999999999999909,-0.00255,32.865,2.235000000000001,-0.00255,0.2108406201004982,0.6707330103963614,-0.841789036989212,15510.5,30.5,3269.541666666667,6.836309523809524,302.17857142857144,0.049672642013146764,3269.541666666667,6.836309523809524,15704.666666666666,46.0,15.666666666666666,1562.5555555555557,29.787777777777777,0.08666666666666521,0.001833333333333355,30.227777777777778,0.03777777777777697,0.001833333333333355,-0.1869115349319246,0.26706266485982477,0.07607776588863796,15704.666666666666,46.0,1202.436341744675,3.5592117758784423,107.80617283950617,-0.0038322181500147798,1202.436341744675,3.5592117758784423,19364.765135699374,44.92484342379958,458.1617954070981,1079.2640918580375,43.9355636743215,0.41860125260960346,0.011010751565762011,44.31963465553236,0.5529227557411273,0.011010751565762011,-0.2327668153620588,0.8602614967193307,-0.24446889964984206,19364.765135699374,44.92484342379958,71.63680299956157,0.23971261291738913,4.3116822370236,-0.0009648234558577235,71.63680299956157,0.23971261291738913,,4.0,9.0,958.0
14,CIAN,0.017,-0.13,-0.46,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16510.632183908045,61.01149425287356,665.971264367816,1467.183908045977,37.63672413793103,0.11000000000000003,0.006570114942528738,37.980000000000004,-0.44252873563218376,0.006570114942528738,-0.22758938484536162,0.5197015470214958,-0.04470544471137825,16510.632183908045,61.01149425287356,31.66030282114068,0.1407922506791607,3.1980715222594402,-0.0007839050138136627,31.66030282114068,0.1407922506791607,,,,174.0
15,RENI,-0.017,-0.05,-0.39,-0.66,13590.666666666666,27.0,1.0,713.3333333333334,25.790000000000003,-1.0399999999999991,-0.0388,26.86,0.91,-0.0388,-0.18206971883773806,1.0099286884069445,-0.4551936785380044,13590.666666666666,27.0,13590.666666666666,27.0,713.3333333333334,-0.18206971883773806,13590.666666666666,27.0,,,,,,,,,,,,,,,,,,,,,,12151.5,19.0,21.25,792.6666666666666,27.0575,0.6216666666666653,0.023783333333333333,26.953333333333333,0.9333333333333332,0.023783333333333333,-0.2271034270524979,1.1223101907720168,-0.4283039172490437,12151.5,19.0,758.034399891856,1.098385776017355,39.74647298770106,-0.011403884256634153,758.034399891856,1.098385776017355,14880.574162679426,32.645933014354064,570.4832535885167,1122.8564593301435,35.076220095693785,0.09325358851674635,0.008111483253588517,35.33325358851675,-0.2511004784688992,0.008111483253588517,-0.08835173154062634,0.9062637366247519,-0.4899405550443385,14880.574162679426,32.645933014354064,41.52967786000266,0.134448401516478,3.843506535405387,-0.0003545652718888997,41.52967786000266,0.134448401516478,3.0,,12.0,209.0
16,GEMC,-0.001,-0.06,0.16,0.09,5702.0,1.0,1.0,689.0,21.5,-0.4600000000000008,-0.0209,22.06,0.1699999999999981,-0.0209,0.2208500206470489,1.698827862739563,-1.3818376064300537,5702.0,1.0,5702.0,1.0,689.0,0.2208500206470489,5702.0,1.0,5768.0,6.5,4.25,710.25,23.5225,1.4550000000000005,0.0688,22.27,0.33750000000000124,0.0688,-0.400410708039999,0.7618574555963278,0.005543321371078547,5768.0,6.5,1375.2625,1.575,173.625,-0.10185956992208958,1375.2625,1.575,19530.5,48.85,21.3,1546.5,25.019,-0.3839999999999998,-0.017480000000000006,25.473,-0.20449999999999982,-0.017480000000000006,0.30606795772910117,0.757562730833888,-0.9442422896623611,19530.5,48.85,919.846107507435,2.280853047335806,76.85855449276139,0.017929636423711974,919.846107507435,2.280853047335806,21968.320235756386,61.177472167648986,587.8474132285527,1406.2220039292731,37.7147609692207,-0.0003667321545514444,0.0034417812704649643,38.160890635232484,0.13643745907007201,0.0034417812704649643,0.02114943338963053,0.6574325108499349,-0.4820652444369374,21968.320235756386,61.177472167648986,61.8927631084486,0.17517385143594233,4.368545549930068,3.475230823324743e-05,61.8927631084486,0.17517385143594233,1.0,4.0,20.0,1527.0
17,HMSG,-0.03,-0.29,-0.3,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12920.0,9.0,30.0,3229.0,21.0,-0.1499999999999985,-0.0070999999999999,21.23,-0.5399999999999991,-0.0070999999999999,-1.039254665374756,-0.0598031058907508,1.365342617034912,12920.0,9.0,430.6666666666667,0.3,107.63333333333334,-0.03464182217915854,430.6666666666667,0.3,18230.894736842107,51.1578947368421,538.9473684210526,1533.3157894736842,37.33526315789474,-0.7915789473684205,-0.001289473684210525,39.257894736842104,-0.665789473684211,-0.001289473684210525,-0.23041884052126035,1.030436867161801,-0.37038274815208033,18230.894736842107,51.1578947368421,43.13474416207089,0.0985917775487266,3.9906901645139388,-0.0009736816444084077,43.13474416207089,0.0985917775487266,,,1.0,19.0
18,SGZH,-0.004,-0.03,-0.09,0.36,4152.0,1.0,1.0,1174.0,26.25,-1.3299999999999983,-0.0482,27.52,-0.6799999999999997,-0.0482,-1.039287567138672,-0.0598368719220161,1.3654204607009888,4152.0,1.0,4152.0,1.0,1174.0,-1.039287567138672,4152.0,1.0,9981.75,4.5,3.75,1478.0,27.8875,-0.21999999999999975,-0.002924999999999997,27.622500000000002,-1.3999999999999986,-0.002924999999999997,-0.7160176336765289,0.3201553449034691,0.6875159740447998,9981.75,4.5,2923.0803571428573,1.5714285714285714,442.6696428571429,-0.20026039438588278,2923.0803571428573,1.5714285714285714,2565.0,4.0,29.0,1742.0,25.41,-0.4800000000000004,-0.0185,25.68,0.0599999999999987,-0.0185,0.7055670022964478,0.5466817617416382,-1.3009449243545532,2565.0,4.0,88.44827586206897,0.13793103448275862,60.06896551724138,0.024329896630911993,88.44827586206897,0.13793103448275862,13994.363117870722,24.05703422053232,634.8003802281369,1105.4201520912547,37.05060836501901,0.028935361216730102,0.0028636882129277567,37.44929657794677,-0.023288973384030475,0.0028636882129277567,-0.17993813768355,0.6648691573566243,-0.21800570376925596,13994.363117870722,24.05703422053232,30.621884980775384,0.056160298678860174,2.5652009642121194,-0.00039741663377477067,30.621884980775384,0.056160298678860174,1.0,4.0,1.0,526.0
19,FIXP,-0.01,-0.01,-0.15,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24794.666666666668,35.0,16.666666666666668,1046.3333333333333,25.39,-0.27999999999999875,-0.010833333333333334,25.83666666666667,-0.9599999999999996,-0.010833333333333334,0.4958354830741882,0.9674059003591537,-1.460998257001241,24794.666666666668,35.0,1557.4020467836256,2.036549707602339,58.07894736842105,0.03701908790577224,1557.4020467836256,2.036549707602339,17346.74045801527,24.27480916030534,529.1450381679389,1252.206106870229,39.971374045801525,0.06603053435114536,0.01022595419847328,40.39221374045802,-0.5633587786259544,0.01022595419847328,-0.16968944845081285,0.5755044700193951,-0.15759796912262913,17346.74045801527,24.27480916030534,60.71228794812775,0.08020388251698783,3.724428485124282,-0.00045413524759198705,60.71228794812775,0.08020388251698783,,,3.0,131.0
